english,endpoint
FAQ™ P1 Primer Manuka honey primer,peach-2-pro-max
FAQ™ skincare All FAQ™ skincare,peach-2-pro-max
FAQ™ products All anti-aging treatments,peach-2-pro-max
LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments,peach-2-pro-max
FAQ™ Dual LED Panel For anti-aging & blemishes,peach-2-pro-max
FAQ™ 201 Anti-aging LED mask,peach-2-pro-max
FAQ™ 202 Advanced anti-aging LED mask,peach-2-pro-max
FAQ™ 211 Anti-aging neck & décolleté LED mask,peach-2-pro-max
FAQ™ 221 Anti-aging LED hand mask,peach-2-pro-max
FAQ™ products All LED treatments,peach-2-pro-max
Hair regrowth FAQ™ 301 LED hair strengthening scalp massager FAQ™ Scalp Serum Scalp recovery probiotic serum FAQ™ skincare All FAQ™ skincare FAQ™ products All hair treatments,peach-2-pro-max
FAQ™ 301 LED hair strengthening scalp massager,peach-2-pro-max
FAQ™ Scalp Serum Scalp recovery probiotic serum,peach-2-pro-max
FAQ™ products All hair treatments,peach-2-pro-max
Face & body toning NEW FAQ™ 401 Dual microcurrent LED FAQ™ 402 Dual microcurrent NIR + red LED FAQ™ 411 Body microcurrent red LED FAQ™ Body Sculpt Serum Conductive body serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,peach-2-pro-max
FAQ™ 401 Dual microcurrent LED,peach-2-pro-max
FAQ™ 402 Dual microcurrent NIR + red LED,peach-2-pro-max
FAQ™ 411 Body microcurrent red LED,peach-2-pro-max
FAQ™ Body Sculpt Serum Conductive body serum,peach-2-pro-max
FAQ™ products All toning treatments,peach-2-pro-max
Skin rejuvenation NEW FAQ™ 501 Full-Spectrum Red Light Therapy FAQ™ 502 Full-Spectrum Red Light Therapy FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,peach-2-pro-max
FAQ™ 501 Full-Spectrum Red Light Therapy,peach-2-pro-max
FAQ™ 502 Full-Spectrum Red Light Therapy,peach-2-pro-max
FAQ™ Red Light Serum,peach-2-pro-max
Specialized treatments Hair removal NEW PEACH™ 2 Pro Max Professional IPL hair removal device PEACH™ 2 IPL hair removal PEACH™ 2 go Travel-friendly IPL hair removal PEACH™ Cooling Prep Gel Cooling IPL hair removal gel Body care BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Massaging body brush SUPERCHARGED™ serum Firming body serum Acne ESPADA™ 2 plus Recurring acne LED therapy ESPADA™ 2 Acne treatment device ESPADA™ Blemish Solution Concentrated acne gel ESPADA™ devices All acne treatment devices Eye care BEAR™ 2 eyes & lips Microcurrent line smoothing device IRIS™ 2 Rejuvenating eye massager Eye skincare Advanced eye care treatment Eye care devices All revitalizing eye massagers Pore care KIWI™ derma Diamond microdermabrasion KIWI™ Blackhead remover KIWI™ skincare Advanced pore care essentials Hair care LUNA™ 4 hair 2-in-1 LED scalp massager FLIP™ play advanced LED light hairbrush LUNA™ Dual-Peptide Scalp Serum For healthy hair,peach-2-pro-max
Hair removal NEW PEACH™ 2 Pro Max Professional IPL hair removal device PEACH™ 2 IPL hair removal PEACH™ 2 go Travel-friendly IPL hair removal PEACH™ Cooling Prep Gel Cooling IPL hair removal gel,peach-2-pro-max
PEACH™ 2 Pro Max Professional IPL hair removal device,peach-2-pro-max
PEACH™ 2 IPL hair removal,peach-2-pro-max
PEACH™ 2 go Travel-friendly IPL hair removal,peach-2-pro-max
PEACH™ Cooling Prep Gel Cooling IPL hair removal gel,peach-2-pro-max
Body care BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Massaging body brush SUPERCHARGED™ serum Firming body serum,peach-2-pro-max
BEAR™ 2 body Microcurrent body toning,peach-2-pro-max
LUNA™ 4 body Massaging body brush,peach-2-pro-max
SUPERCHARGED™ serum Firming body serum,peach-2-pro-max
Acne ESPADA™ 2 plus Recurring acne LED therapy ESPADA™ 2 Acne treatment device ESPADA™ Blemish Solution Concentrated acne gel ESPADA™ devices All acne treatment devices,peach-2-pro-max
ESPADA™ 2 plus Recurring acne LED therapy,peach-2-pro-max
ESPADA™ 2 Acne treatment device,peach-2-pro-max
ESPADA™ Blemish Solution Concentrated acne gel,peach-2-pro-max
ESPADA™ devices All acne treatment devices,peach-2-pro-max
Eye care BEAR™ 2 eyes & lips Microcurrent line smoothing device IRIS™ 2 Rejuvenating eye massager Eye skincare Advanced eye care treatment Eye care devices All revitalizing eye massagers,peach-2-pro-max
IRIS™ 2 Rejuvenating eye massager,peach-2-pro-max
Eye skincare Advanced eye care treatment,peach-2-pro-max
Eye care devices All revitalizing eye massagers,peach-2-pro-max
Pore care KIWI™ derma Diamond microdermabrasion KIWI™ Blackhead remover KIWI™ skincare Advanced pore care essentials,peach-2-pro-max
KIWI™ derma Diamond microdermabrasion,peach-2-pro-max
KIWI™ Blackhead remover,peach-2-pro-max
KIWI™ skincare Advanced pore care essentials,peach-2-pro-max
Hair care LUNA™ 4 hair 2-in-1 LED scalp massager FLIP™ play advanced LED light hairbrush LUNA™ Dual-Peptide Scalp Serum For healthy hair,peach-2-pro-max
LUNA™ 4 hair 2-in-1 LED scalp massager,peach-2-pro-max
FLIP™ play advanced LED light hairbrush,peach-2-pro-max
LUNA™ Dual-Peptide Scalp Serum For healthy hair,peach-2-pro-max
More Skincare Men Shop all,peach-2-pro-max
Skincare,peach-2-pro-max
Men,peach-2-pro-max
Shop all,peach-2-pro-max
FOREO App,peach-2-pro-max
About About The story of FOREO FOREO partnerships MYSA: Beauty & Wellbeing Journal Find your ideal FOREO device! Technologies behind Benefits Clinical Results & Expert Reviews Contact us,peach-2-pro-max
About,peach-2-pro-max
The story of FOREO,peach-2-pro-max
FOREO partnerships,peach-2-pro-max
MYSA: Beauty & Wellbeing Journal,peach-2-pro-max
Find your ideal FOREO device!,peach-2-pro-max
Technologies behind Benefits,peach-2-pro-max
Clinical Results & Expert Reviews,peach-2-pro-max
Contact us,peach-2-pro-max
Language,peach-2-pro-max
Shipping country,peach-2-pro-max
United States Delivery estimate: 25/12/25,peach-2-pro-max
United Kingdom Delivery estimate: 24/12/25,peach-2-pro-max
Spain Delivery estimate: 24/12/25,peach-2-pro-max
Australia Delivery estimate: 27/12/25,peach-2-pro-max
France Delivery estimate: 24/12/25,peach-2-pro-max
Germany Delivery estimate: 24/12/25,peach-2-pro-max
Canada Delivery estimate: 28/12/25,peach-2-pro-max
Austria Delivery estimate: 24/12/25,peach-2-pro-max
Bahrain Delivery estimate: 25/12/25,peach-2-pro-max
Belgium Delivery estimate: 24/12/25,peach-2-pro-max
Bermuda Delivery estimate: 30/12/25,peach-2-pro-max
Bosnia & Herzegovina Delivery estimate: 27/12/25,peach-2-pro-max
Brunei Delivery estimate: 29/12/25,peach-2-pro-max
Bulgaria Delivery estimate: 24/12/25,peach-2-pro-max
Chile Delivery estimate: 28/12/25,peach-2-pro-max
China Delivery estimate: 24/12/25,peach-2-pro-max
Colombia Delivery estimate: 28/12/25,peach-2-pro-max
Croatia Delivery estimate: 24/12/25,peach-2-pro-max
Cyprus Delivery estimate: 25/12/25,peach-2-pro-max
Czechia Delivery estimate: 24/12/25,peach-2-pro-max
Denmark Delivery estimate: 24/12/25,peach-2-pro-max
Estonia Delivery estimate: 24/12/25,peach-2-pro-max
Finland Delivery estimate: 24/12/25,peach-2-pro-max
French Polynesia Delivery estimate: 28/12/25,peach-2-pro-max
Gibraltar Delivery estimate: 28/12/25,peach-2-pro-max
Greece Delivery estimate: 24/12/25,peach-2-pro-max
Hong Kong SAR China Delivery estimate: 25/12/25,peach-2-pro-max
Hungary Delivery estimate: 24/12/25,peach-2-pro-max
Iceland Delivery estimate: 25/12/25,peach-2-pro-max
Ireland Delivery estimate: 24/12/25,peach-2-pro-max
Isle of Man Delivery estimate: 26/12/25,peach-2-pro-max
Israel Delivery estimate: 28/12/25,peach-2-pro-max
Italy Delivery estimate: 24/12/25,peach-2-pro-max
Japan Delivery estimate: 27/12/25,peach-2-pro-max
Jersey Delivery estimate: 29/12/25,peach-2-pro-max
Kazakhstan Delivery estimate: 26/12/25,peach-2-pro-max
Kuwait Delivery estimate: 24/12/25,peach-2-pro-max
Latvia Delivery estimate: 24/12/25,peach-2-pro-max
Lebanon Delivery estimate: 25/12/25,peach-2-pro-max
Lithuania Delivery estimate: 24/12/25,peach-2-pro-max
Luxembourg Delivery estimate: 24/12/25,peach-2-pro-max
Macao SAR China Delivery estimate: 26/12/25,peach-2-pro-max
Malaysia Delivery estimate: 27/12/25,peach-2-pro-max
Malta Delivery estimate: 24/12/25,peach-2-pro-max
Mexico Delivery estimate: 28/12/25,peach-2-pro-max
Monaco Delivery estimate: 25/12/25,peach-2-pro-max
Netherlands Delivery estimate: 24/12/25,peach-2-pro-max
New Zealand Delivery estimate: 24/12/25,peach-2-pro-max
Norway Delivery estimate: 24/12/25,peach-2-pro-max
Oman Delivery estimate: 27/12/25,peach-2-pro-max
Peru Delivery estimate: 28/12/25,peach-2-pro-max
Philippines Delivery estimate: 27/12/25,peach-2-pro-max
Poland Delivery estimate: 25/12/25,peach-2-pro-max
Portugal Delivery estimate: 24/12/25,peach-2-pro-max
Puerto Rico Delivery estimate: 26/12/25,peach-2-pro-max
Qatar Delivery estimate: 25/12/25,peach-2-pro-max
Réunion Delivery estimate: 29/12/25,peach-2-pro-max
Romania Delivery estimate: 24/12/25,peach-2-pro-max
Russia Delivery estimate: 1/1/26,peach-2-pro-max
Saudi Arabia Delivery estimate: 25/12/25,peach-2-pro-max
Singapore Delivery estimate: 26/12/25,peach-2-pro-max
Slovakia Delivery estimate: 24/12/25,peach-2-pro-max
Slovenia Delivery estimate: 24/12/25,peach-2-pro-max
South Africa Delivery estimate: 1/1/26,peach-2-pro-max
South Korea Delivery estimate: 26/12/25,peach-2-pro-max
Sweden Delivery estimate: 24/12/25,peach-2-pro-max
Switzerland Delivery estimate: 24/12/25,peach-2-pro-max
Taiwan Delivery estimate: 29/12/25,peach-2-pro-max
Thailand Delivery estimate: 28/12/25,peach-2-pro-max
Türkiye Delivery estimate: 25/12/25,peach-2-pro-max
United Arab Emirates Delivery estimate: 25/12/25,peach-2-pro-max
Uzbekistan Delivery estimate: 29/12/25,peach-2-pro-max
Vietnam Delivery estimate: 30/12/25,peach-2-pro-max
Love beauty innovation?,peach-2-pro-max
Subscribe and get 10% off your first order!,peach-2-pro-max
"By subscribing, I agree to receive marketing communications from FOREO. I understand that I can unsubscribe at any time.",peach-2-pro-max
This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.,peach-2-pro-max
Help,peach-2-pro-max
Orders & Shipping,peach-2-pro-max
Warranty & Returns,peach-2-pro-max
Frequently asked questions,peach-2-pro-max
Follow us,peach-2-pro-max
Instagram,peach-2-pro-max
Facebook,peach-2-pro-max
X,peach-2-pro-max
YouTube,peach-2-pro-max
LinkedIn,peach-2-pro-max
Pinterest,peach-2-pro-max
TikTok,peach-2-pro-max
My account,peach-2-pro-max
Product registration,peach-2-pro-max
Support,peach-2-pro-max
Company,peach-2-pro-max
Affiliate program,peach-2-pro-max
AI & Affiliate News,peach-2-pro-max
MYSA blog,peach-2-pro-max
Become a partner,peach-2-pro-max
Terms of use,peach-2-pro-max
Privacy policy,peach-2-pro-max
100% secure payment,peach-2-pro-max
Reviews by Bazaarvoice,peach-2-pro-max
© 2025 FOREO All rights reserved,peach-2-pro-max
"Oh, your cart is empty.",peach-2-pro-max
Explore our exciting products.,peach-2-pro-max
Facial cleansing,peach-2-pro-max
Facelift,peach-2-pro-max
Hydration,peach-2-pro-max
Oral care,peach-2-pro-max
Hair removal devices,peach-2-pro-max
Product navigation,peach-2-pro-max
PEACH™ 2 PEACH™ 2 IPL hair removal device € 399 Geo Stock test,peach-2-pro-max
PEACH™ 2,peach-2-pro-max
PEACH™ 2 Pro Max PEACH™ 2 Pro Max Professional IPL hair removal € 829 Geo Stock test,peach-2-pro-max
PEACH™ 2 go PEACH™ 2 go Travel-friendly IPL hair removal € 299 € 249 SAVE € 50 Geo Stock test,peach-2-pro-max
PEACH™ 2 go,peach-2-pro-max
Silky smooth 3x faster,peach-collection
Full body treatment in just 10 mins,peach-collection
"PEACHTM 2 is the fastest, simplest and most effective way to remove unwanted hair, long-term. Designed with more power, a larger treatment window, and a faster flash than other IPL devices on the market. It also features a built-in skin cooling system to ensure a comfortable and painless hair removal experience. So ditch the razor - because life’s too short to shave every day.",peach-collection
Ground-breaking IPL technology,peach-collection
"Unrivalled power and high-speed flash targets the hair follicle, stimulating it into a resting phase so it doesn’t grow back.",peach-collection
Extra-large treatment window,peach-collection
"3x larger than competitors, covering 3x the skin area at one time - meaning full body treatments are faster.",peach-collection
"Blows cool air onto skin as you’re treating it, to ensure the most comfortable IPL experience available.",peach-collection
T-SonicTM massage,peach-collection
Temporarily dilates pores so the light pulses can reach the hair follicle more easily.,peach-collection
"Unrivaled power and high-speed flash targets the hair follicle, stimulating it into a resting phase so it doesn’t grow back.",peach-collection
T-SonicTM pulsations,peach-collection
Choose color: Peach,peach-collection
"Ditch the razor, messy waxing and painful plucking - and experience the ultimate hair removal solution with PEACH™ 2. Extra large treatment window, ultra-fast flash, skin cooling system, self-adjusting head, and full body treatments in just 10 minutes.",peach-collection
Faster and more powerful than other IPL devices on the market.,peach-collection
7.3 J/cm² of energy - over 3x more power than other IPL devices.,peach-collection
9cm² treatment window - over 3x larger than other IPL devices.,peach-collection
Ultra-fast flash speed from 0.5 seconds - delivering 120 flashes per min.,peach-collection
5 intensities and 2 modes - for large and precise areas on face and body.,peach-collection
"More settings, treatment guidance and reminders via the FOREO app.",peach-collection
General Manual,peach-collection
"2-year warranty (Spain, Portugal, Sweden: 3-year warranty)",peach-collection
RELATED PRODUCTS,peach-collection
PEACH™ Cooling Prep Gel,peach-collection
For face & body,peach-collection
Allow you to adjust to different skin sensitivities on different areas.,peach-collection
Self-adjusting head,peach-collection
"Bends naturally with your body, to treat all creases & corners.",peach-collection
"The perfect way to prep your skin for the most comfortable IPL hair removal treatments. Developed specifically for use with FOREO’s PEACHTM devices, this lightweight gel-to-serum formula cools and calms skin during your treatment, while enabling your PEACHTM device to glide effortlessly over skin.",peach-collection
"Shave all visible hair from the area you wish to treat. Apply PEACHTM Cooling Gel to skin for an even more intense cooling sensation, making sure to massage it in until fully absorbed.",peach-collection
"Plug in PEACHTM 2. Before first use, you must select your preferred settings via the FOREO app. Then adjust the IPL intensity as desired, by pressing the + and - buttons on the device.",peach-collection
"Place the treatment window firmly on skin. For large areas, press and hold the flash button while gliding on skin. For small areas, press and immediately release the flash button. See manual for more detailed instructions.",peach-collection
UFO™ 3,peach-collection
SUPERCHARGED™ Firming Body Serum,peach-collection
Size matters. Smaller is better.,peach-2-go
Your priority pass to hair-free skin,peach-2-go
"Pack light, travel smooth with PEACH™ 2 go. This portable IPL hair removal device is the fastest, simplest and most effective way to remove unwanted hair long-term - anytime, anywhere.",peach-2-go
"Designed with more power, smaller size, a larger treatment window, and a faster flash than other IPL devices on the market, it perfectly fits any suitcase or carry-on baggage. It also features a built-in skin cooling system to ensure a comfortable and painless hair removal experience wherever you go. So, ditch the shaving. Travel hair-free.",peach-2-go
Advanced IPL hair removal treatment,peach-2-go
"High-speed flash targets the hair follicle, stimulating it into a resting phase so it doesn’t grow back.",peach-2-go
T-SonicTM technology,peach-2-go
PEACH™ 2 go Bundle,peach-2-go
PEACH™ 2 go Choose color: Lavender,peach-2-go
Meet the ultimate hair removal dream team: PEACH™ 2 go and PEACH™ Cooling Prep Gel. Unrivalled IPL technology combined with an instantly calming gel-to-serum formula means you can effortlessly and comfortably achieve flawlessly smooth skin treating the full body in just 10 minutes - for results that last all year long. What's not to love?,peach-2-go
9 cm² window covers 3x more skin per flash than competitors for the fastest full-body coverage.,peach-2-go
"Built-in 360° cooling system blows cool air during treatment for painless, comfortable IPL anywhere.",peach-2-go
T-Sonic™ massage temporarily dilates pores so light pulses reach follicles deeper for faster results.,peach-2-go
"Two modes adapt to any area: Glide Mode speeds through legs and arms, Stamp Mode targets bikini line.",peach-2-go
"Lightweight gel absorbs instantly without residue, letting device glide friction-free over any body contour.",peach-2-go
Panthenol and Vitamin E soothe post-treatment redness while 97% natural origin ingredients hydrate deeply.,peach-2-go
Choose color: Lavender,peach-2-go
"The travel-friendly version of everyone's favorite IPL hair removal device. Smaller size, extra large treatment window, ultra-fast flash, skin cooling system, and full body treatments in just 10 minutes. Effortless. Long-lasting. Anytime, anywhere.",peach-2-go
Faster and more powerful than other travel-friendly IPL devices on the market.,peach-2-go
A whopping 6.5 J/cm² of energy for visible results in 2 weeks.,peach-2-go
"3x more coverage than other IPL devices, with 9cm² treatment window.",peach-2-go
