english,spanish
86% of users report skin looks & feels firmer and more elastic.,El 86% de los usuarios declararon sentir la piel más firme y elástica.
86%,El 86%
of users report skin looks & feels firmer and more elastic.,de los usuarios declararon sentir la piel más firme y elástica.
81% of users report reduced appearance of blemishes.,El 81% declaró una reducción de imperfecciones.
81%,El 81%
of users report reduced appearance of blemishes.,declaró una reducción de imperfecciones.
LUNA™ 4 go,LUNA™ 4 go
Choose color: Peach Perfect,Elige el color: Peach Perfect
"Compact & lightweight, LUNA™ 4 go offers a deep in-pore cleanse and firming massage on-the-go. Clinically proven to remove 99% of dirt, oil, and makeup residue - giving you a radiant complexion no matter where your adventures take you...","Toma el control del estado de tu piel incluso en los días más ajetreados. LUNA™ 4 go es el nuevo dispositivo esencial de cuidado facial para lucir una piel radiante en cualquier lugar. ¡Limpieza facial de 1 minuto sin esfuerzo? Sí. ¿Masaje facial reafirmante y preciso? Sí. ¿Ligero, compacto y fácil de transportar? Sí. ¿Piel fresca, sana y luminosa? ¡Por supuesto!"
100% of users report more refreshed & radiant skin.,35 veces más higiénico que los cepillos con filamentos de nylon.
96% of users report healthier-looking skin. 81% report reduced blemishes.,El 100% de usuarios declaró sentir la piel más fresca y radiante.
86% of users report skin looks & feels firmer and more elastic.,El 96% de usuarios declaró sentir la piel más sana. El 81% una reducción de imperfecciones.
98% of users experience better absorption of skincare products.,El 86% de los usuarios declaró sentir la piel visiblemente más firme y elástica.
2-zone brush head with thick and thin touchpoints for all skin types.,El 98% de usuarios sintió una mayor absorción de sus productos de cuidado facial.
"8 intensities, travel-lock and up to 300 uses per single USB charge.","Actualizado con 8 intensidades, bloqueo de viaje y hasta 300 usos por carga USB."
LUNA™ 4 go,LUNA™ 4 go
USB charging cable,Cable de carga USB
Quick start guide,Guía de inicio rápido
General manual,Manual general
"2-year warranty (Spain, Portugal, Sweden: 3-year warranty)","Garantía de 2 años (España, Portugal, Suecia: Garantía de 3 años)"
RELATED PRODUCTS,PRODUCTOS RELACIONADOS
RELATED PRODUCTS,PRODUCTOS RELACIONADOS
LUNA™ 4,LUNA™ 4
LUNA™ 4 plus,LUNA™ 4 plus
LUNA™ 4 body,LUNA™ 4 body
LUNA™ 4 mini,LUNA™ 4 mini
"Lighter than air. For a soft, gentle cleanse.",Más ligero que el aire. Para una limpieza suave y agradable.
"Wash away your day with this gentle foaming cleanser. Formulated with skin-replenishing amino acids and vitamin E to help retain moisture. Skin is left soft, naturally radiant and healthy-looking.","Comienza el día limpiando tu rostro con este suave limpiador de espuma. Formulado con aminoácidos para rellenar tu piel y vitamina E para retener la hidratación. Tu piel lucirá suave, radiante y con apariencia saludable."
"Vegan, cruelty-free, fragrance-free, dermatologist tested, and for all skin types.","Vegano, cruelty free, sin fragancia, probado dermatológicamente y para todo tipo de pieles"
Simple & easy,Simple y sencillo
STEP 1,PASO 1
Unlock device,Desbloquea el dispositivo
Unlock device by holding down the + and - buttons for 3 seconds. Then register your warranty via the FOREO For You app. Download the app here.,"Desbloquea el dispositivo pulsando los botones + y - durante 3 segundos. A continuación, registra tu garantía en la aplicación FOREO For You. Descarga la aplicación aquí."
STEP 2,PASO 2
Apply cleanser,Aplica el limpiador
"Dampen your face and apply your face cleanser. For optimal results, use FOREO Micro-Foam Cleanser. Wet LUNATM 4 go and press the universal button to turn on the device.",Humedece tu rostro y aplica tu limpiador facial. Usa FOREO Micro-Foam Cleanser para obtener resultados óptimos. Humedece LUNATM 4 go y pulsa el botón central para encender el dispositivo.
STEP 3,PASO 3
Cleanse,Limpia tu piel
Adjust the intensity of the T-SonicTM pulsations with the + and - buttons. Glide the front of the device in circular motions around your face and neck. Rinse face/neck and device.,Ajusta la intensidad de las pulsaciones T-SonicTM con los botones + y -. Desliza la parte frontal del dispositivo con movimientos circulares alrededor tu rostro y cuello. Aclara tu rostro/cuello y el dispositivo.
STEP 4,PASO 4
Firm,Reafirma la piel
Apply FOREO's Serum. Press the universal button to turn on device. Then gently glide back of device in straight upward lines across your face and neck for a firming massage.,"Aplica FOREO Serum. Presione el botón central para encender el dispositivo. Luego, deslice suavemente la parte posterior del dispositivo en líneas rectas hacia arriba por la cara y el cuello para obtener un masaje reafirmante."
One-time investment,Una inversión para siempre
"Sustainable Premium quality & a product life of years, with no replacement parts required. Ever.",Sostenible Un producto de calidad superior que durará muchos años y no requerirá partes remplazables. Nunca.
Sustainable,Sostenible
"Premium quality & a product life of years, with no replacement parts required. Ever.",Un producto de calidad superior que durará muchos años y no requerirá partes remplazables. Nunca.
Cruelty-free & Vegan No animals were used in the development and testing of this product.,Vegano y cruelty free Ningún animal fue utilizado durante el desarrollo y las pruebas de este producto.
Cruelty-free & Vegan,Vegano y cruelty free
No animals were used in the development and testing of this product.,Ningún animal fue utilizado durante el desarrollo y las pruebas de este producto.
Staggering battery life USB rechargeable with up to 300 uses per single charge.,Batería de duración extrema Recargable por USB con hasta 300 usos por carga.
Staggering battery life,Batería de duración extrema
USB rechargeable with up to 300 uses per single charge.,Recargable por USB con hasta 300 usos por carga.
"Hygienic & Waterproof Made of bacteria-resistant silicone, 100% waterproof, easy to clean.","Higiénico e impermeable Fabricado con silicona resistente a las bacterias, 100% resistente al agua y fácil de limpiar."
Hygienic & Waterproof,Higiénico e impermeable
"Made of bacteria-resistant silicone, 100% waterproof, easy to clean.","Fabricado con silicona resistente a las bacterias, 100% resistente al agua y fácil de limpiar."
PRESS LOVES IT,PRESS LOVES IT
PRESS LOVES IT,PRESS LOVES IT
"FOREO, the Swedish expert in connected beauty, has come up with an express protocol to transform your bathroom into a high-tech spa.","FOREO, empresa sueca especializada en la belleza conectada, ha desarrollado protocolos exprés que transforman tu baño en un spa tecnológico."
The FOREO BEAR™ microcurrent device has five intensities to help lift and contour the various areas of the face. It has an anti-shock system to protect your skin and comes with a paired app to programme various facial workouts.,El dispositivo de microcorrientes FOREO BEAR™ tiene cinco intensidades para tonificar y definir las diferentes zonas del rostro. Su sistema Anti-Shock protege tu piel y la aplicación te ofrece una amplia variedad de entrenamientos faciales.
"FOREO Imagination™ has a luxurious, creamy texture, taking away the homemade feel of DIY masks and making them feel as fancy as a clinic treatment for a spa at home vibe.","FOREO Imagination™ tiene una textura cremosa y agradable que mejora la sensación de tu mascarilla facial casera para transformarla en un experiencia similar a la de un tratamiento clínico, desde la comodidad de tu casa."
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR
BEAR™ 2 go,BEAR™ 2 go
LUNA™ 4 body,LUNA™ 4 body
SUPERCHARGED™ Barrier Restoring Essence Mist,SUPERCHARGED™ Bruma facial restauradora
T-SonicTM pulsations,Pulsaciones T-SonicTM Silicona ultra higiénica
Ultra-hygienic silicone,Resultados clínicos y opiniones de expertos
Clinical results & Expert reviews,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
INDEPENDENT REVIEWS BY BAZAAR VOICE,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
INDEPENDENT REVIEWS BY BAZAAR VOICE,Mira lo que piensan otras personas...
See what others think...,LUNA™ 4
LUNA™ 4,LUNA™ 4 plus
LUNA™ 4 plus,LUNA™ 4 body
LUNA™ 4 body,LUNA™ 4 MEN
LUNA™ 4 MEN,LUNA™ 4 mini
LUNA™ 4 mini,LUNA™ 4 go
LUNA™ 4 go,LUNA™ 4 hair
LUNA™ 4 hair,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones
Log in User profile My devices My orders My addresses,Iniciar sesión
Log in,Perfil de usuario
User profile,Mis dispositivos
My devices,Mis pedidos
My orders,Mis direcciones
My addresses,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO
BLACK FRIDAY 2025 GET THE CODE,CONSÍGUE EL CÓDIGO
GET THE CODE,RESERVA + REGALO FAQ™ 202 plus
PRE-ORDER + GIFT FAQ™ 202 plus,FAQ™ 202 plus
FAQ™ 202 plus,NUEVO FAQ™ 502
NEW FAQ™ 502,FAQ™ 502
FAQ™ 502,Popular Sorpresas especiales Superventas Terapia de luz roja
Popular Special offers Bestsellers Red light therapy,Sorpresas especiales
Special offers,Superventas
Bestsellers,Terapia de luz roja
Red light therapy,"RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona"
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial"
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices",LUNA™ 4 Masaje antiedad
LUNA™ 4 Anti-aging massage,LUNA™ 4 Plus Masaje antiedad y calor LED
"LUNA™ 4 plus Anti-aging massage, LED heating",LUNA™ 4 Men Masaje antiedad para hombres
"LUNA™ 4 MEN For men, anti-aging massage","LUNA™ 4 mini Zona-T, para piel joven"
"LUNA™ 4 mini For young skin, T-zone",LUNA™ 4 go Para llevar siempre contigo
LUNA™ 4 go For travel or gym bag,Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium
LUNA™ skincare Premium cleansers & balm,Dispositivos LUNA™ Todos los dispositivos de limpieza facial
LUNA™ devices All facial cleansing devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,BEAR™ 2 Tonificador facial de microcorrientes
BEAR™ 2 Microcurrent toning device,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes
BEAR™ 2 eyes & lips Microcurrent line smoothing device,Lifting facial Cuidado de la piel antiedad
Facelift skincare Premium anti-aging skincare,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
BEAR™ devices All premium facelift devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,UFO™ 3 Dispositivo de hidratación facial profunda
UFO™ 3 Deep facial hydration device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 mini Hidratación facial profunda para piel joven
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 go Hidratación facial profunda sobre la marcha
UFO™ 3 go Portable red light therapy,Mascarillas Rejuvenecimiento e hidratación
Masks Rejuvenation & hydration,Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
UFO™ devices All deep facial hydration devices,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,issa™ 4 Cepillo de dientes sónico híbrido de silicona
issa™ 4 Hybrid silicone sonic toothbrush,issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente
issa™ 4 plus Smart hybrid silicone sonic toothbrush,issa™ 4 smile Cepillo de dientes sónico híbrido de silicona
issa™ 4 smile Hybrid silicone sonic toothbrush,issa™ 4 baby Para niños de 0 a 3 años
issa™ 4 baby For ages 0-3,Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona
ISSA™ devices All silicone sonic toothbrushes,Tratamiento antiedad FAQ™ Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED Crecimiento del cabello FAQ™ 301 Masajeador para fortalecer el cabello FAQ™ Scalp Serum Sérum para cabello y cuero cabelludo FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Todos los tratamientos capilares Tonificación LED NUEVO FAQ™ 401 Microcorrientes duales LED FAQ™ 402 Microcorrientes duales + NIR y LED rojo FAQ™ 411 Microcorrientes para cuerpo + LED rojo FAQ™ Body Sculpt Serum Sérum conductor para cuerpo FAQ™ Cuidado de la piel Todo cuidado de la piel FAQ™ FAQ™ productos Todos los tratamientos tonificantes Rejuvenecimiento cutáneo NUEVO FAQ™ 501 Terapia de luz roja de espectro completo FAQ™ 502 Terapia de Luz Roja de Espectro Completo FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments
FAQ™ anti-aging treatments Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments Hair regrowth FAQ™ 301 LED hair strengthening scalp massager FAQ™ Scalp Serum Scalp recovery probiotic serum FAQ™ skincare All FAQ™ skincare FAQ™ products All hair treatments Face & body toning NEW FAQ™ 401 Dual microcurrent LED FAQ™ 402 Dual microcurrent NIR + red LED FAQ™ 411 Body microcurrent red LED FAQ™ Body Sculpt Serum Conductive body serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments Skin rejuvenation NEW FAQ™ 501 Full-Spectrum Red Light Therapy FAQ™ 502 Full-Spectrum Red Light Therapy FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad
Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments,FAQ™ 101 Antiedad de nivel clínico
FAQ™ 101 Clinical anti-aging,FAQ™ 102 Antiedad avanzada de nivel clínico
FAQ™ 102 Advanced clinical anti-aging,FAQ™ 103 Exclusivo set antiedad de nivel clínico
FAQ™ 103 Luxurious clinical anti-aging set,FAQ™ P1 Primer Base de miel de manuka
FAQ™ P1 Primer Manuka honey primer,FAQ™ Cuidado de la piel FAQ™ cuidado de la piel
FAQ™ skincare All FAQ™ skincare,FAQ™ productos Tratamientos antiedad
FAQ™ products All anti-aging treatments,Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED
LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments,FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones
FAQ™ Dual LED Panel For anti-aging & blemishes,FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones
FAQ™ LED Panel For anti-aging & blemishes,FAQ™ 201 Mascarilla LED antiedad
FAQ™ 201 Anti-aging LED mask,FAQ™ 202 Mascarilla LED antiedad avanzada
FAQ™ 202 Advanced anti-aging LED mask,FAQ™ 211 Anti-aging neck & décolleté LED mask
FAQ™ 211 Anti-aging neck & décolleté LED mask,FAQ™ 221 Anti-aging LED hand mask
