english,spanish
Intended to improve the appearance of wrinkles.,"Penetra más profundamente que la luz LED roja para potenciar los beneficios. Mejora la apariencia de las arrugas, las manchas de la edad y la flacidez."
Blue LED light (465 nm),Luz LED roja (650 nm)
Intended to improve the appearance of mild to moderate inflammatory acne.,Favorece la producción de colágeno y elastina para combatir los signos de envejecimiento cutáneo. El resultado es una apariencia más joven.
Green LED light (520 nm),Luz LED azul (420 nm)
Intended to brighten dull skin & even skin tone.,"Elimina el acné, reduce la apariencia de las imperfecciones y previene futuras erupciones cutáneas."
Orange LED light (600 nm),Luz LED verde (519 nm)
Intended to improve skin texture.,Ilumina la piel y equilibra su tono.
Yellow light (580 nm),Luz LED naranja (590 nm)
Intended to reduce the appearance of redness.,Revitaliza la piel y ayuda a mejorar su textura.
Purple LED light (440 nm),Luz LED amarilla (570 nm)
Intended to improve hyperpigmentation.,Reduce la apariencia de las rojeces y calma la piel.
Cyan LED light (485 nm),Luz LED morada (450 nm)
Intended to calm stressed skin.,Reduce la apariencia de las manchas de la edad y la hiperpigmentación.
"* Green, Orange, Purple, Cyan, Yellow light are not intended to have a medical effect.",Luz LED cian (463 nm)
By popular demand,Calma y alivia la piel estresada.
"The world’s best-selling wireless LED face mask, but upgraded to fit the needs of FAQ Swiss fans.","*Las luces verde, naranja, púrpura, cian y amarilla no están destinadas a tener un efecto médico."
634 LED light points,Por demanda popular
"An additional 9 LED bulbs in the forehead diamond to fade stubborn frown lines, and extra LED points.","La máscara facial LED inalámbrica más vendida del mundo, mejorada para las necesidades de los fans de FAQ Swiss."
50% higher light intensity,634 puntos de luz LED
"To treat the skin around the eyes more effectively, while still protecting it with a gold frame.","9 LEDs adicionales en el diamante de la frente para atenuar las arrugas rebeldes del ceño, más puntos LED extra."
Clinically proven to:,50 % más de intensidad lumínica
"Reduce wrinkles by 32%, acne by 48%, and sebum by 18%, and significantly increase elasticity in 2 weeks.","Para tratar mejor la piel alrededor de los ojos, protegiéndola con un marco dorado."
FAQ™ 202,Clínicamente probado para:
FAQ™ 202 Bundle,"Reducir arrugas un 32 %, acné un 48 % y sebo un 18 %, y aumentar significativamente la elasticidad en 2 semanas."
FAQ™ 202 plus Pre-order,FAQ™ 202
FAQ™ 202,FAQ™ 202 Bundle
"Designed to perfectly fit your face for even light coverage, this ultra-lightweight and wireless face mask uses red light therapy to deliver anti-aging results – all while you walk around and get on with your day. Reduce wrinkles and tackle acne in just 2 weeks.",FAQ™ 202 plus Pre-order
600 LED light points placed in optimal locations ensure even light coverage.,FAQ™ 202
100% of users report FAQ™ 202 fits their face perfectly.,"Diseñada para adaptarse perfectamente a tu rostro y ofrecerte una cobertura de luz uniforme, esta máscara facial inalámbrica y ultraligera usa tecnologías clínicas para aportar resultados clínicos antiedad. Mientras la uses, podrás moverte con total libertad y continuar tu día. Reduce las arrugas y mejora la firmeza y elasticidad de la piel en sólo 2 semanas."
"Ultra-lightweight, wireless & open eye design with non-slip headband make it easy to move around.","8 longitudes de ondas LED que combaten los signos avanzados de envejecimiento, la hiperpigmentación y la piel apagada."
Pre-set treatments for specific skin concerns are available on the FAQ™ Swiss app.,600 puntos de luz perfectamente ubicados para garantizar una cobertura de luz uniforme.
FAQ™ 202 Silicone LED Face Mask,El 100% de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro
60 mL FAQ™ Silicone Cleaning Spray,"Ultraligera, sin cables, con abertura para los ojos y cinta de cabeza antideslizante para que te puedas mover fácilmente."
Display case,La aplicación FAQ™ Swiss incluye tratamientos prediseñados que tratan problemas específicos de la piel.
Accessory pouch,Máscara LED facial de silicona FAQ™ 202
USB charging cable,Spray limpiador de silicona FAQ™ 60 ml
Quick start guide,Estuche
User manual,Bolsa de almacenamiento
2-year warranty,Cable USB
FAQ™ 202 Bundle,Guía de inicio rápido
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 wavelengths, including NIR, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.",Manual de uso
Clinically proven to reduce wrinkles by 32% in just 2 weeks.,Garantía de 2 años
Clinically proven to significantly improve skin firmness and elasticity in just 2 weeks.,FAQ™ 202 Bundle
Reduces acne by 48% and sebum by 18% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda, incluyendo NIR, que cubre todas las necesidades de la piel, desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica."
623 points of light placed in optimal locations ensure even light coverage.,Está clínicamente probado que reduce las arrugas un 32 % en solo 2 semanas.
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.",Mejora significativamente la firmeza y elasticidad de la piel en solo 2 semanas.
Preps and primes to optimize LED performance for best results while supporting the skin barrier.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.
FAQ™ 202 plus Pre-order,623 puntos de luz colocados estratégicamente aseguran una cobertura uniforme.
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 (NIR + 7) wavelengths and extra LEDs in the forehead diamond, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.","Péptidos que estimulan el colágeno, Narciso Marino que ilumina, ácido hialurónico que hidrata y té verde y cica que calman."
Clinically proven to improve firmness and elasticity and reduce wrinkles by 32% in just 2 weeks.,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea."
"50% stronger lights, better eye area penetration, and 9 additional LEDs to fade mid-brow frown lines",FAQ™ 202 plus Pre-order
Reduces acne by 48% and sebum by 18% in just 2 weeks.,"El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda (NIR + 7) y LEDs extra en el diamante de la frente, que cubre todas las necesidades de la piel, tratando desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica."
634 points of light with extra forehead LEDs ensure even light coverage.,Está clínicamente probado que mejora la firmeza y elasticidad y reduce las arrugas un 32 % en solo 2 semanas.
"Collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & Cica.","Luces LED un 50 % más potentes, mejor penetración en el área de los ojos y 9 LEDs adicionales para atenuar las líneas del ceño medio."
Preps and primes to optimize LED performance for best results while supporting the skin barrier.,Reduce el acné un 48 % y el sebo un 18 % en solo 2 semanas.
RELATED PRODUCTS,634 puntos de luz con LEDs extra en la frente aseguran una cobertura uniforme.
RELATED PRODUCTS,"Péptidos que estimulan el colágeno, Narciso Marino que ilumina, ácido hialurónico que hidrata y té verde y cica que calman."
FAQ™ 221,"Prepara y potencia la piel para optimizar el rendimiento de la LED y conseguir los mejores resultados, además de proteger la barrera cutánea."
FAQ™ P1,PRODUCTOS RELACIONADOS
FAQ™ 211,PRODUCTOS RELACIONADOS
FAQ™ Red Light Peptide Serum,FAQ™ 221
FAQ™ vs Other LED Masks,FAQ™ P1
"Unlike other LED masks which only beam light on a few specific points on the face, FAQ™ LED masks spread light evenly across your skin via 600 optimized points of light.",FAQ™ 211
"Coupled with the flexi-fit aspect, this ensures that the LED wavelengths penetrate each millimeter of the skin - delivering the same effective treatment to all areas at the same time, no matter what your face shape.",FAQ™ Red Light Peptide Serum
A perfect fit,FAQ™ vs. Otras Máscaras LED
"Our engineers scanned over 10,000 faces to develop the very first LED mask that forms perfectly to your face - whatever the shape. Check out photos of our employees incorporating FAQTM 202 into their self-care routines…","A diferencia de otras máscaras LED que solo proyectan luz en unos pocos puntos específicos del rostro, las máscaras LED FAQ™ distribuyen la luz de manera uniforme sobre la piel mediante 600 puntos de luz optimizados. Combinado con el aspecto flexi fit, esto garantiza que las longitudes de onda LED penetren cada milímetro de la piel, ofreciendo el mismo tratamiento eficaz en todas las áreas al mismo tiempo, sin importar la forma de tu rostro."
Manuka Honey Primer,La medida perfecta
"Made with real manuka honey, this nutrient-rich primer softens skin and enhances elasticity for a naturally radiant complexion. Apply a thin layer to clean, dry skin and follow with designated FAQTM devices, or massage with fingertips until fully absorbed.","Nuestros ingenieros han escaneado más de 10000 rostros para desarrollar la primera máscara LED que se amolda perfectamente a tu cara, sea cual sea su forma. Echa un vistazo a las fotos de nuestros empleados, que han incorporado FAQ™ 202 a sus rutinas de cuidado personal..."
Dermatologist tested & for all skin types.,Manuka Honey Primer
Simple & easy,"Con miel de manuka natural, esta base repleta de nutrientes suaviza la piel y aumenta su elasticidad para que luzca radiante. Aplica una fina capa sobre piel limpia y seca y utiliza tu dispositivo FAQ™, o masajea con la punta de los dedos hasta que se absorba por completo."
STEP 1,Probada dermatológicamente y para todo tipo de pieles.
Put on mask,Fácil y sencillo
"Start with a clean and dry face & apply FAQTM P1, if desired. Then place your FAQTM 202 Silicone LED Face Mask over your face, and secure in place with the headband.",PASO 1
STEP 2,Coloca la máscara
Turn on,"Limpia y seca tu rostro, y aplica si lo deseas FAQ™ P1. Coloca tu máscara LED facial FAQ™ sobre tu rostro, y asegúrala con la cinta de cabeza."
"Press the universal button to turn on your mask. You can change the LED colors by quick-pressing the button again. With FAQTM 202, you can access more settings and pre-programmed treatments via the FAQTM Swiss app. Download the app here.",PASO 2
STEP 3,Enciende
Move freely,Pulsa el botón central para encender tu máscara. Cambia los colores LED pulsando rápidamente el botón. Accede a más ajustes y tratamientos para FAQ™ 202 desde la aplicación. Descarga la aplicación aquí.
"Enjoy your LED facial for up to 15 mins, while you continue with your day - for multitasking at its best. Once finished, press the universal button for 3 seconds to turn off your mask.",PASO 3
"Sustainable Premium quality & a product life of years, with no replacement parts required. Ever.",Muévete con libertad
Sustainable,"Disfruta de un tratamiento LED facial 15 minutos, mientras continúas con tu vida diaria (multitarea en su máxima expresión). Cuando finalice el tratamiento, mantén pulsado el botón central 3 segundos para apagar tu máscara."
"Premium quality & a product life of years, with no replacement parts required. Ever.",Sostenible Un producto de calidad superior que durará muchos años y no requerirá partes remplazables.
Cruelty-free & Vegan No animals were used in the development and testing of this product.,Sostenible
Cruelty-free & Vegan,Un producto de calidad superior que durará muchos años y no requerirá partes remplazables.
No animals were used in the development and testing of this product.,Vegano y cruelty free Ningún animal fue utilizado durante el desarrollo y las pruebas de este producto.
Staggering battery life USB rechargeable with up to 90 mins per single charge.,Vegano y cruelty free
Staggering battery life,Ningún animal fue utilizado durante el desarrollo y las pruebas de este producto.
USB rechargeable with up to 90 mins per single charge.,Batería de duración extrema Recargable por USB con hasta 90 minutos de uso por carga.
"Ultra-hygienic silicone Non-porous, quick-drying, and easy to clean.",Batería de duración extrema
Ultra-hygienic silicone,Recargable por USB con hasta 90 minutos de uso por carga.
"Non-porous, quick-drying, and easy to clean.","Silicona ultra higiénica No porosa, de secado rápido y fácil de limpiar."
LED light,Silicona ultra higiénica
Clinical results & Expert reviews,"No porosa, de secado rápido y fácil de limpiar."
YOU MAY ALSO LIKE,Luz LED
YOU MAY ALSO LIKE,Resultados clínicos y reseñas de expertos
FAQ™ Dual LED Panel,TAMBIÉN TE PUEDE GUSTAR
FAQ™ 402,TAMBIÉN TE PUEDE GUSTAR
FAQ™ 301,FAQ™ Dual LED Panel
FAQ™ 102,FAQ™ 402
INDEPENDENT REVIEWS BY BAZAAR VOICE,FAQ™ 301
INDEPENDENT REVIEWS BY BAZAAR VOICE,FAQ™ 102
See what others think...,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
FAQ™ 202,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
FAQ™ 202,Mira lo que piensan otras personas...
FAQ™ 202 plus,FAQ™ 202
FAQ™ 202 plus,FAQ™ 202
FAQ™ 201,FAQ™ 202 plus
FAQ™ 202,FAQ™ 202 plus
FAQ™ 211,FAQ™ 201
FAQ™ 221,FAQ™ 202
Log in User profile My devices My orders My addresses,FAQ™ 211
Log in,FAQ™ 221
User profile,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones
My devices,Iniciar sesión
My orders,Perfil de usuario
My addresses,Mis dispositivos
BLACK FRIDAY 2025 GET THE CODE,Mis pedidos
GET THE CODE,Mis direcciones
PRE-ORDER + GIFT FAQ™ 202 plus,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO
FAQ™ 202 plus,CONSÍGUE EL CÓDIGO
NEW FAQ™ 502,RESERVA + REGALO FAQ™ 202 plus
FAQ™ 502,FAQ™ 202 plus
Popular Special offers Bestsellers Red light therapy,NUEVO FAQ™ 502
Special offers,FAQ™ 502
Bestsellers,Popular Sorpresas especiales Superventas Terapia de luz roja
Red light therapy,Sorpresas especiales
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes",Superventas
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices",Terapia de luz roja
LUNA™ 4 Anti-aging massage,"RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona"
"LUNA™ 4 plus Anti-aging massage, LED heating","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial"
"LUNA™ 4 MEN For men, anti-aging massage",LUNA™ 4 Masaje antiedad
"LUNA™ 4 mini For young skin, T-zone",LUNA™ 4 Plus Masaje antiedad y calor LED
LUNA™ 4 go For travel or gym bag,LUNA™ 4 Men Masaje antiedad para hombres
LUNA™ skincare Premium cleansers & balm,"LUNA™ 4 mini Zona-T, para piel joven"
LUNA™ devices All facial cleansing devices,LUNA™ 4 go Para llevar siempre contigo
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium
BEAR™ 2 Microcurrent toning device,Dispositivos LUNA™ Todos los dispositivos de limpieza facial
BEAR™ 2 go Microcurrent toning on-the-go,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 Tonificador facial de microcorrientes
Facelift skincare Premium anti-aging skincare,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha
BEAR™ devices All premium facelift devices,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Lifting facial Cuidado de la piel antiedad
UFO™ 3 Deep facial hydration device,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
UFO™ 3 LED Near-infrared and red light therapy device,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 Dispositivo de hidratación facial profunda
UFO™ 3 go Portable red light therapy,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda
Masks Rejuvenation & hydration,UFO™ 3 mini Hidratación facial profunda para piel joven
UFO™ devices All deep facial hydration devices,UFO™ 3 go Hidratación facial profunda sobre la marcha
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,Mascarillas Rejuvenecimiento e hidratación
issa™ 4 Hybrid silicone sonic toothbrush,Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
issa™ 4 plus Smart hybrid silicone sonic toothbrush,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona
issa™ 4 smile Hybrid silicone sonic toothbrush,issa™ 4 Cepillo de dientes sónico híbrido de silicona
issa™ 4 baby For ages 0-3,issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente
ISSA™ devices All silicone sonic toothbrushes,issa™ 4 smile Cepillo de dientes sónico híbrido de silicona
