english,spanish
"Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow LED wavelengths are absorbed at precise depths, to targer skin across all layers.","Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow LED wavelengths are absorbed at precise depths, to targer skin across all layers."
"Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring.","Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring."
"Targeted cellular repair: Red (650 nm) & NIR (850 nm) LED help reduce fine lines & wrinkles, improve skin tone, and reduce acne breakouts & inflammation.","Targeted cellular repair: Red (650 nm) & NIR (850 nm) LED help reduce fine lines & wrinkles, improve skin tone, and reduce acne breakouts & inflammation."
"Restores skin from within: Increases ATP production to support faster healing, improved resilience, and long-term skin health.","Restores skin from within: Increases ATP production to support faster healing, improved resilience, and long-term skin health."
"Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 4.4 J/cm², up to 10 flashes per second.","Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 4.4 J/cm², up to 10 flashes per second."
FAQ™ 502 device,FAQ™ 502 device
Protective Glasses,Protective Glasses
Glasses Pouch & Cleaning Cloth,Glasses Pouch & Cleaning Cloth
USB Charging Cable,USB Charging Cable
Quick Start Guide,Quick Start Guide
General Manual,General Manual
FAQ™ 501,FAQ™ 501
"Smoother, more balanced skin - in a flash. FAQ™ 501 helps with skin concerns such as uneven skin tone, fine lines & the appearance of blemishes, working to refine your skin’s texture over time. An easy & effective way to refresh your skin & support a youthful-looking complexion.","Smoother, more balanced skin - in a flash. FAQ™ 501 helps with skin concerns such as uneven skin tone, fine lines & the appearance of blemishes, working to refine your skin’s texture over time. An easy & effective way to refresh your skin & support a youthful-looking complexion."
Full-spectrum red light energy: mimics the sun’s natural healing wavelengths - broad & narrow red light (without harmful UV or blue light).,Full-spectrum red light energy: mimics the sun’s natural healing wavelengths - broad & narrow red light (without harmful UV or blue light).
"Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow red LED is absorbed at a precise depth - targeting skin across all layers.","Multi-depth skin targeting: Broad-spectrum pulsed light reaches mid-to-deep dermal layers, while narrow red LED is absorbed at a precise depth - targeting skin across all layers."
"Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring.","Clinically-proven wavelengths: Pulsed light (590 - 1200 nm) promotes overall skin rejuvenation by addressing pigmentation issues (age spots, melasma), redness (rosacea) & minor scarring."
"Targeted cellular repair: Red light therapy (650 nm) helps reduce fine lines, even skin tone, and reduce acne breakouts.","Targeted cellular repair: Red light therapy (650 nm) helps reduce fine lines, even skin tone, and reduce acne breakouts."
"Restores skin from within: Increases ATP production to support faster healing, improved resilience, and long-term skin health.","Restores skin from within: Increases ATP production to support faster healing, improved resilience, and long-term skin health."
"Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 3.9 J/cm², up to 7 flashes per second.","Smart Swedish design: Full face & neck treatment takes just 2 mins. 5 customizable intensities, up to 3.9 J/cm², up to 7 flashes per second."
FAQ™ 501 device,FAQ™ 501 device
Protective Glasses,Protective Glasses
Glasses Pouch & Cleaning Cloth,Glasses Pouch & Cleaning Cloth
USB Charging Cable,USB Charging Cable
Quick Start Guide,Quick Start Guide
General Manual,General Manual
FAQ™ Red Light Peptide Serum,FAQ™ Red Light Peptide Serum
"Expertly formulated to complement your LED light treatments. This all-in-one antioxidant-rich serum is enhanced with collagen-boosting Peptides, brightening Sea Daffodil, hydrating HA, soothing Green Tea & repairing Cica helping your skin respond better, recover faster, and look even more radiant after each LED treatment.","Formulado por expertos para complementar tus tratamientos de luz LED, este sérum todo en uno está cargado de antioxidantes y enriquecido con péptidos que estimulan el colágeno, narciso de mar iluminador, ácido hialurónico hidratante, té verde calmante y centella reparadora. Ayuda a que tu piel responda mejor, se recupere más rápido y luzca aún más radiante tras cada sesión de luz LED."
Simple & easy,Simple y fácil
STEP 1,PASO 1
Prep,Preparar
"Before starting your treatment, skin should be clean and dry, and you should put on the protective glasses. To optimize your treatment even further, apply FAQ™ Red Light Peptide Serum onto the areas you wish to treat, and gently massage until fully absorbed.","Antes de comenzar tu tratamiento, la piel debe estar limpia y seca, y debes ponerte las gafas de protección. Para optimizar aún más tu tratamiento, aplica el sérum FAQ™ Red Light Peptide en las áreas que deseas tratar y masajea suavemente hasta su completa absorción."
STEP 2,PASO 2
Select intensity,Selecciona la intensidad
Press the universal button to turn on your FAQ™ 502 device. Then adjust the intensity by pressing the + and - buttons. You can access video-guided treatments and more settings via the FAQ™ Swiss app. Download app,"Presiona el botón universal para encender tu dispositivo FAQ™ 502. Después, ajusta la intensidad utilizando los botones + y -. Podrás acceder a tratamientos guiados en vídeo y a más configuraciones a través de la app FAQ™ Swiss. Descarga la app y comienza."
STEP 3,PASO 3
Rejuvenate,Rejuvenecer
"Lightly place the silicone shield to your skin. For large areas, press and hold the flash button while gliding on skin. For small areas, press and immediately release the flash button.","Coloca suavemente el protector de silicona sobre tu piel. Para áreas grandes, presiona y mantén presionado el botón de flash mientras deslizas sobre la piel. Para áreas pequeñas, presiona y suelta inmediatamente el botón de flash."
One-time investment,Inversión única
"Sustainable Premium quality & a product life of years, with no replacement parts required. Ever.","Sostenible Calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca."
Sustainable,Sostenible
"Premium quality & a product life of years, with no replacement parts required. Ever.","Calidad premium y una vida útil de años, sin necesidad de piezas de repuesto. Nunca."
Protective eyewear Shields eyes from high-intensity light during treatments. Provided with a glasses pouch & cleaning cloth.,Gafas protectoras Protegen los ojos de la luz de alta intensidad durante los tratamientos. Incluye funda para gafas y paño de limpieza.
Protective eyewear,Gafas protectoras
Shields eyes from high-intensity light during treatments. Provided with a glasses pouch & cleaning cloth.,Protegen los ojos de la luz de alta intensidad durante los tratamientos. Incluye funda para gafas y paño de limpieza.
"App connected With how to use guidance, customizable settings, and pre-set treatments.","App conectada Con manuales de uso, configuraciones personalizables y tratamientos preestablecidos."
App connected,App conectada
"With how to use guidance, customizable settings, and pre-set treatments.","Con manuales de uso, configuraciones personalizables y tratamientos preestablecidos."
Cruelty-free & Vegan No animals were used in the development and testing of this product.,Cruelty-free y vegano No se utilizaron animales en el desarrollo ni en las pruebas de este producto.
Cruelty-free & Vegan,Cruelty-free y vegano
No animals were used in the development and testing of this product.,No se utilizaron animales en el desarrollo ni en las pruebas de este producto.
LED light,LUZ LED
Clinical results & Expert reviews,Resultados clínicos y opiniones de expertos
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR
YOU MAY ALSO LIKE,TAMBIÉN TE PUEDE GUSTAR
FAQ™ Dual LED Panel,FAQ™ Dual LED Panel
FAQ™ 202,FAQ™ 202
FAQ™ 402,FAQ™ 402
FAQ™ 301,FAQ™ 301
INDEPENDENT REVIEWS BY BAZAAR VOICE,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
INDEPENDENT REVIEWS BY BAZAAR VOICE,RESEÑAS INDEPENDIENTES DE BAZAAR VOICE
See what others think...,Mira lo que piensan otras personas
FAQ™ 501,FAQ™ 501
FAQ™ 502,FAQ™ 502
Log in User profile My devices My orders My addresses,Iniciar sesión Perfil de usuario Mis dispositivos Mis pedidos Mis direcciones
Log in,Iniciar sesión
User profile,Perfil de usuario
My devices,Mis dispositivos
My orders,Mis pedidos
My addresses,Mis direcciones
BLACK FRIDAY 2025 GET THE CODE,BLACK FRIDAY 2025 CONSÍGUE EL CÓDIGO
GET THE CODE,CONSÍGUE EL CÓDIGO
PRE-ORDER + GIFT FAQ™ 202 plus,RESERVA + REGALO FAQ™ 202 plus
FAQ™ 202 plus,FAQ™ 202 plus
NEW FAQ™ 502,NUEVO FAQ™ 502
FAQ™ 502,FAQ™ 502
Popular Special offers Bestsellers Red light therapy,Popular Sorpresas especiales Superventas Terapia de luz roja
Special offers,Sorpresas especiales
Bestsellers,Superventas
Red light therapy,Terapia de luz roja
"Swedish beauty routine Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes","RUTINA SUECAS DE BELLEZA Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona"
"Facial cleansing LUNA™ 4 Anti-aging massage LUNA™ 4 plus Anti-aging massage, LED heating LUNA™ 4 MEN For men, anti-aging massage LUNA™ 4 mini For young skin, T-zone LUNA™ 4 go For travel or gym bag LUNA™ skincare Premium cleansers & balm LUNA™ devices All facial cleansing devices","Limpieza facial LUNA™ 4 Masaje antiedad LUNA™ 4 Plus Masaje antiedad y calor LED LUNA™ 4 Men Masaje antiedad para hombres LUNA™ 4 mini Zona-T, para piel joven LUNA™ 4 go Para llevar siempre contigo Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium Dispositivos LUNA™ Todos los dispositivos de limpieza facial"
LUNA™ 4 Anti-aging massage,LUNA™ 4 Masaje antiedad
"LUNA™ 4 plus Anti-aging massage, LED heating",LUNA™ 4 Plus Masaje antiedad y calor LED
"LUNA™ 4 MEN For men, anti-aging massage",LUNA™ 4 Men Masaje antiedad para hombres
"LUNA™ 4 mini For young skin, T-zone","LUNA™ 4 mini Zona-T, para piel joven"
LUNA™ 4 go For travel or gym bag,LUNA™ 4 go Para llevar siempre contigo
LUNA™ skincare Premium cleansers & balm,Cuidado de la piel LUNA™ Limpiadores y bálsamos faciales premium
LUNA™ devices All facial cleansing devices,Dispositivos LUNA™ Todos los dispositivos de limpieza facial
Facelift BEAR™ 2 Microcurrent toning device BEAR™ 2 go Microcurrent toning on-the-go BEAR™ 2 eyes & lips Microcurrent line smoothing device Facelift skincare Premium anti-aging skincare BEAR™ devices All premium facelift devices,Lifting facial BEAR™ 2 Tonificador facial de microcorrientes BEAR™ 2 go Tonificación con microcorrientes sobre la marcha BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes Lifting facial Cuidado de la piel antiedad Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
BEAR™ 2 Microcurrent toning device,BEAR™ 2 Tonificador facial de microcorrientes
BEAR™ 2 go Microcurrent toning on-the-go,BEAR™ 2 go Tonificación con microcorrientes sobre la marcha
BEAR™ 2 eyes & lips Microcurrent line smoothing device,BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes
Facelift skincare Premium anti-aging skincare,Lifting facial Cuidado de la piel antiedad
BEAR™ devices All premium facelift devices,Dispositivos BEAR™ Todos los dispositivos de lifting facial premium
Hydration UFO™ 3 Deep facial hydration device UFO™ 3 LED Near-infrared and red light therapy device UFO™ 3 mini Red light therapy device for young skin UFO™ 3 go Portable red light therapy Masks Rejuvenation & hydration UFO™ devices All deep facial hydration devices,Hidratación UFO™ 3 Dispositivo de hidratación facial profunda UFO™ 3 LED Dispositivo LED para una hidratación facial profunda UFO™ 3 mini Hidratación facial profunda para piel joven UFO™ 3 go Hidratación facial profunda sobre la marcha Mascarillas Rejuvenecimiento e hidratación Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
UFO™ 3 Deep facial hydration device,UFO™ 3 Dispositivo de hidratación facial profunda
UFO™ 3 LED Near-infrared and red light therapy device,UFO™ 3 LED Dispositivo LED para una hidratación facial profunda
UFO™ 3 mini Red light therapy device for young skin,UFO™ 3 mini Hidratación facial profunda para piel joven
UFO™ 3 go Portable red light therapy,UFO™ 3 go Hidratación facial profunda sobre la marcha
Masks Rejuvenation & hydration,Mascarillas Rejuvenecimiento e hidratación
UFO™ devices All deep facial hydration devices,Dispositivos UFO™ Todos los dispositivos de hidratación facial profunda
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona
issa™ 4 Hybrid silicone sonic toothbrush,issa™ 4 Cepillo de dientes sónico híbrido de silicona
issa™ 4 plus Smart hybrid silicone sonic toothbrush,issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente
issa™ 4 smile Hybrid silicone sonic toothbrush,issa™ 4 smile Cepillo de dientes sónico híbrido de silicona
issa™ 4 baby For ages 0-3,issa™ 4 baby Para niños de 0 a 3 años
ISSA™ devices All silicone sonic toothbrushes,Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona
FAQ™ anti-aging treatments Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments Hair regrowth FAQ™ 301 LED hair strengthening scalp massager FAQ™ Scalp Serum Scalp recovery probiotic serum FAQ™ skincare All FAQ™ skincare FAQ™ products All hair treatments Face & body toning NEW FAQ™ 401 Dual microcurrent LED FAQ™ 402 Dual microcurrent NIR + red LED FAQ™ 411 Body microcurrent red LED FAQ™ Body Sculpt Serum Conductive body serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments Skin rejuvenation NEW FAQ™ 501 Full-Spectrum Red Light Therapy FAQ™ 502 Full-Spectrum Red Light Therapy FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Tratamiento antiedad FAQ™ Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED Crecimiento del cabello FAQ™ 301 Masajeador para fortalecer el cabello FAQ™ Scalp Serum Sérum para cabello y cuero cabelludo FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Todos los tratamientos capilares Tonificación LED NUEVO FAQ™ 401 Microcorrientes duales LED FAQ™ 402 Microcorrientes duales + NIR y LED rojo FAQ™ 411 Microcorrientes para cuerpo + LED rojo FAQ™ Body Sculpt Serum Sérum conductor para cuerpo FAQ™ Cuidado de la piel Todo cuidado de la piel FAQ™ FAQ™ productos Todos los tratamientos tonificantes Rejuvenecimiento cutáneo NUEVO FAQ™ 501 Terapia de luz roja de espectro completo FAQ™ 502 Terapia de Luz Roja de Espectro Completo FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments
Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments,Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad
FAQ™ 101 Clinical anti-aging,FAQ™ 101 Antiedad de nivel clínico
FAQ™ 102 Advanced clinical anti-aging,FAQ™ 102 Antiedad avanzada de nivel clínico
FAQ™ 103 Luxurious clinical anti-aging set,FAQ™ 103 Exclusivo set antiedad de nivel clínico
FAQ™ P1 Primer Manuka honey primer,FAQ™ P1 Primer Base de miel de manuka
FAQ™ skincare All FAQ™ skincare,FAQ™ Cuidado de la piel FAQ™ cuidado de la piel
FAQ™ products All anti-aging treatments,FAQ™ productos Tratamientos antiedad
LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments,Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED
FAQ™ Dual LED Panel For anti-aging & blemishes,FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones
FAQ™ LED Panel For anti-aging & blemishes,FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones
FAQ™ 201 Anti-aging LED mask,FAQ™ 201 Mascarilla LED antiedad
FAQ™ 202 Advanced anti-aging LED mask,FAQ™ 202 Mascarilla LED antiedad avanzada
FAQ™ 211 Anti-aging neck & décolleté LED mask,FAQ™ 211 Anti-aging neck & décolleté LED mask
FAQ™ 221 Anti-aging LED hand mask,FAQ™ 221 Anti-aging LED hand mask
FAQ™ skincare All FAQ™ skincare,FAQ™ Cuidado de la piel FAQ™ cuidado de la piel
