english,spanish,gemma3:4b-it-qat,endpoint,score
Oral care issa™ 4 Hybrid silicone sonic toothbrush issa™ 4 plus Smart hybrid silicone sonic toothbrush issa™ 4 smile Hybrid silicone sonic toothbrush issa™ 4 baby For ages 0-3 ISSA™ devices All silicone sonic toothbrushes,Cuidado bucal issa™ 4 Cepillo de dientes sónico híbrido de silicona issa™ 4 plus Cepillo de dientes sónico híbrido de silicona inteligente issa™ 4 smile Cepillo de dientes sónico híbrido de silicona issa™ 4 baby Para niños de 0 a 3 años Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona,Cuidado bucal issa™ 4 cepillo de dientes sonico híbrido de silicona issa™ 4 plus cepillo de dientes sonico híbrido de silicona issa™ 4 sonrisa Cepillo de dientes sonico híbrido de silicona issa™ 4 bebé Para edades de 0 a 3 Dispositivos ISSA™ Todos los cepillos de dientes sonicos de silicona,bestsellers,0.7364
ISSA™ devices All silicone sonic toothbrushes,Dispositivos ISSA™ Todos los cepillos de dientes sónicos de silicona,ISSA™ dispositivos Cepillos dentales sonicos de silicona para todo,bestsellers,0.7472
FAQ™ anti-aging treatments Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments Hair regrowth FAQ™ 301 LED hair strengthening scalp massager FAQ™ Scalp Serum Scalp recovery probiotic serum FAQ™ skincare All FAQ™ skincare FAQ™ products All hair treatments Face & body toning NEW FAQ™ 401 Dual microcurrent LED FAQ™ 402 Dual microcurrent NIR + red LED FAQ™ 411 Body microcurrent red LED FAQ™ Body Sculpt Serum Conductive body serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments Skin rejuvenation NEW FAQ™ 501 Full-Spectrum Red Light Therapy FAQ™ 502 Full-Spectrum Red Light Therapy FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Tratamiento antiedad FAQ™ Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED Crecimiento del cabello FAQ™ 301 Masajeador para fortalecer el cabello FAQ™ Scalp Serum Sérum para cabello y cuero cabelludo FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Todos los tratamientos capilares Tonificación LED NUEVO FAQ™ 401 Microcorrientes duales LED FAQ™ 402 Microcorrientes duales + NIR y LED rojo FAQ™ 411 Microcorrientes para cuerpo + LED rojo FAQ™ Body Sculpt Serum Sérum conductor para cuerpo FAQ™ Cuidado de la piel Todo cuidado de la piel FAQ™ FAQ™ productos Todos los tratamientos tonificantes Rejuvenecimiento cutáneo NUEVO FAQ™ 501 Terapia de luz roja de espectro completo FAQ™ 502 Terapia de Luz Roja de Espectro Completo FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Preguntas frecuentes™ tratamientos anti-edad. Preguntas frecuentes™ anti-edad 101. Preguntas frecuentes™ anti-edad clínica 102. Preguntas frecuentes™ anti-edad clínica avanzada 103. Conjunto de tratamientos anti-edad de lujo. Preguntas frecuentes™ anti-edad clínica. P1 Primer de miel de Manuka. Preguntas frecuentes™ cuidado de la piel. Todas las preguntas frecuentes™ cuidado de la piel. Todas las preguntas frecuentes,bestsellers,0.4405
Anti-aging FAQ™ 101 Clinical anti-aging FAQ™ 102 Advanced clinical anti-aging FAQ™ 103 Luxurious clinical anti-aging set FAQ™ P1 Primer Manuka honey primer FAQ™ skincare All FAQ™ skincare FAQ™ products All anti-aging treatments,Antiedad FAQ™ 101 Antiedad de nivel clínico FAQ™ 102 Antiedad avanzada de nivel clínico FAQ™ 103 Exclusivo set antiedad de nivel clínico FAQ™ P1 Primer Base de miel de manuka FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos antiedad,Preguntas frecuentes contra el envejecimiento™ 101 Preguntas frecuentes contra el envejecimiento™ 102 Preguntas frecuentes contra el envejecimiento™ 103 Conjunto de preguntas frecuentes contra el envejecimiento™ lujoso FAQ™ P1 Primer de miel de Manuka FAQ™ cuidado de la piel Todas las FAQ™ cuidado de la piel FAQ™ productos Todos los tratamientos anti-edad,bestsellers,0.6203
FAQ™ 101 Clinical anti-aging,FAQ™ 101 Antiedad de nivel clínico,Preguntas frecuentes™ 101 Anti-envejecimiento clínico,bestsellers,0.67
FAQ™ 102 Advanced clinical anti-aging,FAQ™ 102 Antiedad avanzada de nivel clínico,Preguntas frecuentes™ 102 Antienvejecimiento clínico avanzado,bestsellers,0.6711
FAQ™ 103 Luxurious clinical anti-aging set,FAQ™ 103 Exclusivo set antiedad de nivel clínico,Preguntas frecuentes™ 103 Set clínico antienvejecimiento lujoso,bestsellers,0.7316
FAQ™ P1 Primer Manuka honey primer,FAQ™ P1 Primer Base de miel de manuka,Preguntas frecuentes™ P1 Primer Manuka honey,bestsellers,0.7385
FAQ™ skincare All FAQ™ skincare,FAQ™ Cuidado de la piel FAQ™ cuidado de la piel,Preguntas frecuentes™ cuidado de la piel,bestsellers,0.7915
LED treatments NEW FAQ™ Dual LED Panel For anti-aging & blemishes FAQ™ LED Panel For anti-aging & blemishes FAQ™ 201 Anti-aging LED mask FAQ™ 202 Advanced anti-aging LED mask FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ skincare All FAQ™ skincare FAQ™ products All LED treatments,Tratamientos LED NUEVO FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones FAQ™ 201 Mascarilla LED antiedad FAQ™ 202 Mascarilla LED antiedad avanzada FAQ™ 211 Anti-aging neck & décolleté LED mask FAQ™ 221 Anti-aging LED hand mask FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Tratamientos LED,Tratamientos LED NUEVAS Preguntas Frecuentes™ Panel LED Dual Para el anti-edad y las imperfecciones Preguntas Frecuentes™ Panel LED Para el anti-edad y las imperfecciones Preguntas Frecuentes™ Máscara LED anti-edad 201 Preguntas Frecuentes™ Máscara LED anti-edad avanzada 202 Preguntas Frecuentes™ Máscara LED anti-edad cuello y esc,bestsellers,0.5169
FAQ™ Dual LED Panel For anti-aging & blemishes,FAQ™ Dual LED Panel Tratamiento anti-edad y anti-imperfecciones,Preguntas frecuentes™ Panel LED Dual Para el anti-edad y las manchas,bestsellers,0.6801
FAQ™ LED Panel For anti-aging & blemishes,FAQ™ LED Panel Tratamiento anti-edad y anti-imperfecciones,Preguntas frecuentes™ Panel LED Para el anti-edad y las manchas,bestsellers,0.6528
FAQ™ 211 Anti-aging neck & décolleté LED mask,FAQ™ 211 Anti-aging neck & décolleté LED mask,Preguntas frecuentes™ 211 Máscara LED anti-edad para cuello y escote,bestsellers,0.7585
FAQ™ 221 Anti-aging LED hand mask,FAQ™ 221 Anti-aging LED hand mask,Preguntas frecuentes™ 221 Máscara LED anti-edad para las manos,bestsellers,0.7431
FAQ™ products All LED treatments,FAQ™ productos Tratamientos LED,Preguntas frecuentes™ Productos Todos los tratamientos LED,bestsellers,0.7951
Hair regrowth FAQ™ 301 LED hair strengthening scalp massager FAQ™ Scalp Serum Scalp recovery probiotic serum FAQ™ skincare All FAQ™ skincare FAQ™ products All hair treatments,Crecimiento del cabello FAQ™ 301 Masajeador para fortalecer el cabello FAQ™ Scalp Serum Sérum para cabello y cuero cabelludo FAQ™ Cuidado de la piel FAQ™ cuidado de la piel FAQ™ productos Todos los tratamientos capilares,"Preguntas frecuentes sobre el crecimiento del cabello™ Preguntas frecuentes sobre el fortalecimiento del cuero cabelludo con 301 LED, masajeador del cuero cabelludo, preguntas frecuentes sobre el serum del cuero cabelludo, recuperación del cuero cabelludo con serum probiótico, preguntas frecuentes sobre el cuidado de la piel, preguntas frecuentes sobre el cuidado de la piel, todos los tratamientos para el cabello.",bestsellers,0.5485
FAQ™ 301 LED hair strengthening scalp massager,FAQ™ 301 Masajeador para fortalecer el cabello,Preguntas frecuentes™ Masajeador de cuero cabelludo con 301 LED para fortalecer el cabello,bestsellers,0.7613
FAQ™ Scalp Serum Scalp recovery probiotic serum,FAQ™ Scalp Serum Sérum para cabello y cuero cabelludo,Preguntas frecuentes™ Serum para el cuero cabelludo serum probiótico para la recuperación del cuero cabelludo,bestsellers,0.5631
Face & body toning NEW FAQ™ 401 Dual microcurrent LED FAQ™ 402 Dual microcurrent NIR + red LED FAQ™ 411 Body microcurrent red LED FAQ™ Body Sculpt Serum Conductive body serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Tonificación LED NUEVO FAQ™ 401 Microcorrientes duales LED FAQ™ 402 Microcorrientes duales + NIR y LED rojo FAQ™ 411 Microcorrientes para cuerpo + LED rojo FAQ™ Body Sculpt Serum Sérum conductor para cuerpo FAQ™ Cuidado de la piel Todo cuidado de la piel FAQ™ FAQ™ productos Todos los tratamientos tonificantes,Face & body toning NUEVA Preguntas Frecuentes™ 401 Dual microcorriente LED Preguntas Frecuentes™ 402 Dual microcorriente NIR + LED rojo LED Preguntas Frecuentes™ 411 Microcorriente corporal LED rojo Preguntas Frecuentes™ Suero corporal microcorriente Suero conductivo corporal preguntas frecuentes™ cuidado de la piel todas las preguntas frecuentes™ cuidado de la piel preguntas frecuentes™ productos todos los,bestsellers,0.6133
FAQ™ 401 Dual microcurrent LED,FAQ™ 401 Microcorrientes duales LED,Preguntas frecuentes™ 401 Dual microcorriente LED,bestsellers,0.7866
FAQ™ 411 Body microcurrent red LED,FAQ™ 411 Microcorrientes para cuerpo + LED rojo,Preguntas frecuentes™ 411 Cuerpo microcorriente LED rojo,bestsellers,0.7333
FAQ™ Body Sculpt Serum Conductive body serum,FAQ™ Body Sculpt Serum Sérum conductor para cuerpo,Preguntas frecuentes Serum corporal conductor,bestsellers,0.4753
FAQ™ skincare All FAQ™ skincare,FAQ™ Cuidado de la piel Todo cuidado de la piel FAQ™,Preguntas frecuentes™ cuidado de la piel,bestsellers,0.7927
FAQ™ products All toning treatments,FAQ™ productos Todos los tratamientos tonificantes,Preguntas frecuentes™ Productos todos los tratamientos de tonificación,bestsellers,0.73
Skin rejuvenation NEW FAQ™ 501 Full-Spectrum Red Light Therapy FAQ™ 502 Full-Spectrum Red Light Therapy FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Rejuvenecimiento cutáneo NUEVO FAQ™ 501 Terapia de luz roja de espectro completo FAQ™ 502 Terapia de Luz Roja de Espectro Completo FAQ™ Red Light Serum FAQ™ skincare All FAQ™ skincare FAQ™ products All toning treatments,Rejuvenecimiento de la piel. NUEVA Preguntas Frecuentes™ 501 Preguntas Frecuentes™ 501 sobre la Terapia de Luz Roja Espectro Completo™ 502 Preguntas Frecuentes™ 502 sobre la Terapia de Luz Roja Espectro Completo™ Preguntas Frecuentes™ 501 sobre el Suero de Luz Roja™ cuidado de la piel. Todas las Preg,bestsellers,0.5273
FAQ™ 502 Full-Spectrum Red Light Therapy,FAQ™ 502 Terapia de Luz Roja de Espectro Completo,Preguntas frecuentes™ 502 Terapia con luz roja de espectro completo,bestsellers,0.7845
FAQ™ Red Light Serum,FAQ™ Red Light Serum,Preguntas frecuentes Serum Rojo,bestsellers,0.5826
FAQ™ skincare All FAQ™ skincare,FAQ™ skincare All FAQ™ skincare,Preguntas frecuentes™ cuidado de la piel,bestsellers,0.6529
FAQ™ products All toning treatments,FAQ™ products All toning treatments,Preguntas frecuentes™ Productos todos los tratamientos de tonificación,bestsellers,0.642
Specialized treatments Hair removal NEW PEACH™ 2 Pro Max Professional IPL hair removal device PEACH™ 2 IPL hair removal PEACH™ 2 go Travel-friendly IPL hair removal PEACH™ Cooling Prep Gel Cooling IPL hair removal gel Body care BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Massaging body brush SUPERCHARGED™ serum Firming body serum Acne ESPADA™ 2 plus Recurring acne LED therapy ESPADA™ 2 Acne treatment device ESPADA™ Blemish Solution Concentrated acne gel ESPADA™ devices All acne treatment devices Eye care BEAR™ 2 eyes & lips Microcurrent line smoothing device IRIS™ 2 Rejuvenating eye massager Eye skincare Advanced eye care treatment Eye care devices All revitalizing eye massagers Pore care KIWI™ derma Diamond microdermabrasion KIWI™ Blackhead remover KIWI™ skincare Advanced pore care essentials Hair care LUNA™ 4 hair 2-in-1 LED scalp massager LUNA™ Dual-Peptide Scalp Serum For healthy hair,TRATAMIENTOS ESPECIALIZADOS Depilación NUEVO PEACH™ 2 Pro Max Depilación IPL de nivel profesional PEACH™ 2 Depilación IPL Luz Pulsada Intensa PEACH™ 2 go Depilación IPL de tamaño compacto PEACH™ Cooling Prep Gel Gel depilatorio IPL refrescante Cuidado corporal BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Cepillo de masaje corporal SUPERCHARGED™ sérum Sérum corporal reafirmante Tratamiento contra el acné ESPADA™ 2 plus Terapia LED para eliminar el acné recurrente ESPADA™ 2 Dispositivo para el tratamiento del acné ESPADA™ Blemish Solution Gel concentrado antiacné Dispositivos ESPADA™ Todos los dispositivos para el tratamiento del acné Cuidado de tus ojos BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes IRIS™ 2 Masajeador de ojos rejuvenecedor Cuidado para los ojos Tratamiento para el cuidado de los ojos Dispositivos para los ojos Todos los masajeadores de ojos revitalizantes Cuidado de los poros KIWI™ derma Microdermoabrasión con diamantes KIWI™ Aspirador de poros Cuidado de la piel KIWI™ Esenciales para el cuidado avanzado de los poros Cuidado del cabello LUNA™ 4 hair Masajeador LED de cuero cabelludo LUNA™ Dual-Peptide Scalp Serum Para un cabello saludable,Tratamientos especializados Depilación PEACH™ 2 Pro Max Nuevo dispositivo de depilación IPL profesional Depilación IPL PEACH™ 2 Viaje PEACH™ 2 Gel de preparación refrescante para depilación IPL Depilación corporal BEAR™ 2 Microcorriente para tonificar el cuerpo SERUM SUPERCHARGED™ Sérum reafirmante para el cuerpo Tratamiento de acné ESPADA™ 2 Dispositivo de tratamiento de acné ESPADA™ Solución concentrada para el,bestsellers,0.6936
Hair removal NEW PEACH™ 2 Pro Max Professional IPL hair removal device PEACH™ 2 IPL hair removal PEACH™ 2 go Travel-friendly IPL hair removal PEACH™ Cooling Prep Gel Cooling IPL hair removal gel,Depilación NUEVO PEACH™ 2 Pro Max Depilación IPL de nivel profesional PEACH™ 2 Depilación IPL Luz Pulsada Intensa PEACH™ 2 go Depilación IPL de tamaño compacto PEACH™ Cooling Prep Gel Gel depilatorio IPL refrescante,Eliminación de vello NUEVO PEACH™ 2 Pro Max Dispositivo profesional de eliminación de vello IPL PEACH™ 2 IPL para eliminación de vello PEACH™ 2 Viaje-amigable Gel de preparación de enfriamiento IPL para eliminación de vello gel,bestsellers,0.5978
PEACH™ Cooling Prep Gel Cooling IPL hair removal gel,PEACH™ Cooling Prep Gel Gel depilatorio IPL refrescante,PEACH™ Gel de Preparación para Enfriamiento de IPL para la Depilación de Vello,bestsellers,0.633
Body care BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Massaging body brush SUPERCHARGED™ serum Firming body serum,Cuidado corporal BEAR™ 2 body Microcurrent body toning LUNA™ 4 body Cepillo de masaje corporal SUPERCHARGED™ sérum Sérum corporal reafirmante,Cuidado corporal BEAR™ 2 cuerpo Microcorriente para tonificar el cuerpo LUNA™ 4 cuerpo Cepillo masajeador para el cuerpo SERUM SUPERCHARGED™ Serum reafirmante para el cuerpo,bestsellers,0.7789
BEAR™ 2 body Microcurrent body toning,BEAR™ 2 body Microcurrent body toning,BEAR™ 2 cuerpo Microcorriente tonificación corporal,bestsellers,0.7852
LUNA™ 4 body Massaging body brush,LUNA™ 4 body Cepillo de masaje corporal,LUNA™ 4 cuerpo cepillo masajeador,bestsellers,0.7578
SUPERCHARGED™ serum Firming body serum,SUPERCHARGED™ sérum Sérum corporal reafirmante,Super cargado™ serum Firmador para el cuerpo,bestsellers,0.6054
Acne ESPADA™ 2 plus Recurring acne LED therapy ESPADA™ 2 Acne treatment device ESPADA™ Blemish Solution Concentrated acne gel ESPADA™ devices All acne treatment devices,Tratamiento contra el acné ESPADA™ 2 plus Terapia LED para eliminar el acné recurrente ESPADA™ 2 Dispositivo para el tratamiento del acné ESPADA™ Blemish Solution Gel concentrado antiacné Dispositivos ESPADA™ Todos los dispositivos para el tratamiento del acné,Acne ESPADA™ 2 plus Terapia LED de tratamiento de acné recurrente ESPADA™ 2 Dispositivo de tratamiento de acné ESPADA™ Solución Concentrada para el acné ESPADA™ Dispositivos para todos los tratamientos de acné,bestsellers,0.7894
Eye care BEAR™ 2 eyes & lips Microcurrent line smoothing device IRIS™ 2 Rejuvenating eye massager Eye skincare Advanced eye care treatment Eye care devices All revitalizing eye massagers,Cuidado de tus ojos BEAR™ 2 eyes & lips Dispositivo rejuvenecedor de microcorrientes IRIS™ 2 Masajeador de ojos rejuvenecedor Cuidado para los ojos Tratamiento para el cuidado de los ojos Dispositivos para los ojos Todos los masajeadores de ojos revitalizantes,"Cuidado ocular BEAR™ 2 dispositivo de alisado de microcorriente para 2 ojos y labios, masajeador rejuvenecedor ocular IRIS™ 2, tratamiento avanzado de cuidado ocular, dispositivos de cuidado ocular, todos los masajeadores oculares revitalizantes.",bestsellers,0.7138
Pore care KIWI™ derma Diamond microdermabrasion KIWI™ Blackhead remover KIWI™ skincare Advanced pore care essentials,Cuidado de los poros KIWI™ derma Microdermoabrasión con diamantes KIWI™ Aspirador de poros Cuidado de la piel KIWI™ Esenciales para el cuidado avanzado de los poros,Pore care KIWI™ derma Diamond microdermoabrasión KIWI™ Removedor de comedones KIWI™ cuidado de la piel esenciales,bestsellers,0.7203
KIWI™ Blackhead remover,KIWI™ Aspirador de poros,KIWI™ Removedor de comedones negros,bestsellers,0.6409
